algo,size(bytes),avg_proc_time(ms),std_err(ms),std_dev(ms)
shamir,2620,0.0141,0.0001,0.0007
shamir,2630,0.0142,0.0001,0.0007
shamir,2640,0.0142,0.0001,0.0006
shamir,2650,0.0144,0.0001,0.0007
shamir,2660,0.0142,0.0001,0.0007
shamir,2670,0.0143,0.0001,0.0007
shamir,2680,0.0145,0.0001,0.0007
shamir,2690,0.0145,0.0001,0.0008
shamir,2700,0.0144,0.0001,0.0007
shamir,2710,0.0144,0.0001,0.0007
shamir,2720,0.0146,0.0003,0.0019
shamir,2730,0.0144,0.0001,0.0007
shamir,2740,0.0145,0.0001,0.0008
shamir,2750,0.0146,0.0001,0.0007
shamir,2760,0.0145,0.0001,0.0007
shamir,2770,0.0148,0.0001,0.0006
shamir,2780,0.0148,0.0001,0.0006
shamir,2790,0.0148,0.0001,0.0007
shamir,2800,0.0154,0.0001,0.0007
shamir,2810,0.0153,0.0001,0.0007
shamir,2820,0.0153,0.0001,0.0007
shamir,2830,0.0155,0.0001,0.0009
shamir,2840,0.0159,0.0001,0.0007
shamir,2850,0.0155,0.0001,0.0008
shamir,2860,0.0151,0.0001,0.0006
shamir,2870,0.0152,0.0001,0.0007
shamir,2880,0.0154,0.0003,0.0018
shamir,2890,0.0154,0.0003,0.0019
shamir,2900,0.0153,0.0001,0.0007
shamir,2910,0.0157,0.0003,0.0021
shamir,2920,0.0153,0.0001,0.0007
shamir,2930,0.0154,0.0001,0.0007
shamir,2940,0.0156,0.0001,0.0006
shamir,2950,0.0154,0.0001,0.0007
shamir,2960,0.0156,0.0001,0.0006
shamir,2970,0.0157,0.0001,0.0005
shamir,2980,0.0157,0.0001,0.0004
shamir,2990,0.0158,0.0001,0.0005
shamir,3000,0.0159,0.0001,0.0006
shamir,3010,0.0161,0.0003,0.0019
shamir,3020,0.0158,0.0001,0.0005
shamir,3030,0.0160,0.0001,0.0005
shamir,3040,0.0162,0.0003,0.0021
shamir,3050,0.0160,0.0001,0.0005
shamir,3060,0.0160,0.0001,0.0005
shamir,3070,0.0160,0.0001,0.0005
shamir,3080,0.0163,0.0001,0.0009
shamir,3090,0.0161,0.0001,0.0007
shamir,3100,0.0161,0.0001,0.0006
shamir,3110,0.0161,0.0001,0.0007
shamir,3120,0.0161,0.0001,0.0007
shamir,3130,0.0162,0.0001,0.0008
shamir,3140,0.0162,0.0001,0.0007
shamir,3150,0.0167,0.0004,0.0028
shamir,3160,0.0165,0.0001,0.0006
shamir,3170,0.0163,0.0001,0.0007
shamir,3180,0.0169,0.0003,0.0020
shamir,3190,0.0165,0.0001,0.0007
shamir,3200,0.0164,0.0001,0.0006
shamir,3210,0.0167,0.0001,0.0005
shamir,3220,0.0168,0.0001,0.0006
shamir,3230,0.0169,0.0001,0.0004
shamir,3240,0.0167,0.0001,0.0005
shamir,3250,0.0168,0.0001,0.0006
shamir,3260,0.0169,0.0001,0.0005
shamir,3270,0.0168,0.0001,0.0006
shamir,3280,0.0170,0.0002,0.0011
shamir,3290,0.0168,0.0001,0.0007
shamir,3300,0.0171,0.0003,0.0019
shamir,3310,0.0169,0.0001,0.0007
shamir,3320,0.0174,0.0003,0.0020
shamir,3330,0.0171,0.0001,0.0007
shamir,3340,0.0170,0.0001,0.0007
shamir,3350,0.0171,0.0001,0.0006
shamir,3360,0.0170,0.0001,0.0007
shamir,3370,0.0172,0.0001,0.0006
shamir,3380,0.0175,0.0001,0.0009
shamir,3390,0.0172,0.0001,0.0006
shamir,3400,0.0172,0.0001,0.0006
shamir,3410,0.0173,0.0001,0.0007
shamir,3420,0.0173,0.0001,0.0006
shamir,3430,0.0173,0.0001,0.0007
shamir,3440,0.0176,0.0002,0.0016
shamir,3450,0.0175,0.0001,0.0007
shamir,3460,0.0185,0.0003,0.0023
shamir,3470,0.0177,0.0001,0.0009
shamir,3480,0.0179,0.0001,0.0008
shamir,3490,0.0178,0.0001,0.0008
shamir,3500,0.0181,0.0001,0.0007
shamir,3510,0.0182,0.0001,0.0007
shamir,3520,0.0179,0.0001,0.0006
shamir,3530,0.0182,0.0001,0.0005
shamir,3540,0.0183,0.0001,0.0006
shamir,3550,0.0184,0.0001,0.0006
shamir,3560,0.0182,0.0001,0.0007
shamir,3570,0.0185,0.0001,0.0009
shamir,3580,0.0184,0.0001,0.0007
shamir,3590,0.0186,0.0003,0.0019
shamir,3600,0.0183,0.0001,0.0007
shamir,3610,0.0185,0.0001,0.0008
shamir,3620,0.0184,0.0001,0.0008
shamir,3630,0.0184,0.0001,0.0007
shamir,3640,0.0186,0.0001,0.0007
shamir,3650,0.0186,0.0001,0.0007
shamir,3660,0.0186,0.0001,0.0007
shamir,3670,0.0186,0.0001,0.0007
shamir,3680,0.0186,0.0001,0.0007
shamir,3690,0.0187,0.0001,0.0006
shamir,3700,0.0190,0.0002,0.0015
shamir,3710,0.0188,0.0001,0.0007
shamir,3720,0.0190,0.0002,0.0015
shamir,3730,0.0192,0.0001,0.0008
shamir,3740,0.0192,0.0001,0.0007
shamir,3750,0.0190,0.0001,0.0006
shamir,3760,0.0191,0.0001,0.0006
shamir,3770,0.0192,0.0001,0.0007
shamir,3780,0.0191,0.0001,0.0006
shamir,3790,0.0192,0.0001,0.0006
shamir,3800,0.0193,0.0001,0.0007
shamir,3810,0.0192,0.0001,0.0006
shamir,3820,0.0201,0.0001,0.0006
shamir,3830,0.0203,0.0001,0.0008
shamir,3840,0.0201,0.0001,0.0008
shamir,3850,0.0203,0.0001,0.0007
shamir,3860,0.0195,0.0001,0.0006
shamir,3870,0.0198,0.0001,0.0009
shamir,3880,0.0195,0.0001,0.0006
shamir,3890,0.0195,0.0001,0.0006
shamir,3900,0.0203,0.0001,0.0010
shamir,3910,0.0211,0.0001,0.0009
shamir,3920,0.0213,0.0001,0.0008
shamir,3930,0.0208,0.0001,0.0010
shamir,3940,0.0196,0.0001,0.0008
shamir,3950,0.0207,0.0001,0.0008
shamir,3960,0.0217,0.0001,0.0008
shamir,3970,0.0205,0.0002,0.0015
